match_id,player,row,net_pts,pts_won,net_winner,induced_forced,net_unforced,passed_at_net,passing_shot_induced_forced,total_shots
20121011-M-Shanghai_Masters-R16-Alexandr_Dolgopolov-Andy_Murray,2,NetPoints,3,2,1,0,0,1,0,21
20121011-M-Shanghai_Masters-R16-Alexandr_Dolgopolov-Andy_Murray,2,Approach,2,1,1,0,0,1,0,15
20121011-M-Shanghai_Masters-R16-Alexandr_Dolgopolov-Andy_Murray,2,NetPointsRallies,3,2,1,0,0,1,0,21
20121011-M-Shanghai_Masters-R16-Alexandr_Dolgopolov-Andy_Murray,2,ApproachRallies,2,1,1,0,0,1,0,15
20120706-M-Wimbledon-SF-Roger_Federer-Novak_Djokovic,1,NetPoints,13,9,5,3,1,2,1,88
20120706-M-Wimbledon-SF-Roger_Federer-Novak_Djokovic,1,NetPointsRallies,13,9,5,3,1,2,1,88
20120706-M-Wimbledon-SF-Roger_Federer-Novak_Djokovic,2,NetPoints,5,3,3,0,1,1,0,25
20120706-M-Wimbledon-SF-Roger_Federer-Novak_Djokovic,2,NetPointsRallies,5,3,3,0,1,1,0,25
19800705-M-Wimbledon-F-John_Mcenroe-Bjorn_Borg,1,NetPoints,194,120,38,9,25,19,6,551
19800705-M-Wimbledon-F-John_Mcenroe-Bjorn_Borg,1,Approach,183,116,35,9,22,16,6,480
19800705-M-Wimbledon-F-John_Mcenroe-Bjorn_Borg,1,NetPointsRallies,29,13,7,2,7,8,0,170
19800705-M-Wimbledon-F-John_Mcenroe-Bjorn_Borg,1,ApproachRallies,18,9,4,2,4,5,0,99
19800705-M-Wimbledon-F-John_Mcenroe-Bjorn_Borg,2,NetPoints,146,100,22,10,19,14,4,493
19800705-M-Wimbledon-F-John_Mcenroe-Bjorn_Borg,2,Approach,136,94,18,10,16,14,4,435
19800705-M-Wimbledon-F-John_Mcenroe-Bjorn_Borg,2,NetPointsRallies,30,19,6,3,6,3,1,176
19800705-M-Wimbledon-F-John_Mcenroe-Bjorn_Borg,2,ApproachRallies,20,13,2,3,3,3,1,118
20140114-M-Australian_Open-R128-Nick_Kyrgios-Benjamin_Becker,1,NetPoints,6,4,3,1,0,2,0,18
20140114-M-Australian_Open-R128-Nick_Kyrgios-Benjamin_Becker,1,Approach,4,2,1,1,0,2,0,12
20140114-M-Australian_Open-R128-Nick_Kyrgios-Benjamin_Becker,1,NetPointsRallies,5,3,2,1,0,2,0,15
20140114-M-Australian_Open-R128-Nick_Kyrgios-Benjamin_Becker,1,ApproachRallies,3,1,0,1,0,2,0,9
20140114-M-Australian_Open-R128-Nick_Kyrgios-Benjamin_Becker,2,NetPoints,6,5,4,1,0,0,0,48
20140114-M-Australian_Open-R128-Nick_Kyrgios-Benjamin_Becker,2,Approach,1,1,1,0,0,0,0,5
20140114-M-Australian_Open-R128-Nick_Kyrgios-Benjamin_Becker,2,NetPointsRallies,6,5,4,1,0,0,0,48
20140114-M-Australian_Open-R128-Nick_Kyrgios-Benjamin_Becker,2,ApproachRallies,1,1,1,0,0,0,0,5
20140124-M-Australian_Open-SF-Roger_Federer-Rafael_Nadal,1,NetPoints,41,19,11,2,9,8,3,228
20140124-M-Australian_Open-SF-Roger_Federer-Rafael_Nadal,1,Approach,28,13,5,2,4,7,2,144
20140124-M-Australian_Open-SF-Roger_Federer-Rafael_Nadal,1,NetPointsRallies,31,12,8,2,9,7,3,201
20140124-M-Australian_Open-SF-Roger_Federer-Rafael_Nadal,1,ApproachRallies,18,6,2,2,4,6,2,117
20140124-M-Australian_Open-SF-Roger_Federer-Rafael_Nadal,2,NetPoints,6,4,2,2,1,0,1,49
20140124-M-Australian_Open-SF-Roger_Federer-Rafael_Nadal,2,Approach,2,1,0,1,1,0,0,15
20140124-M-Australian_Open-SF-Roger_Federer-Rafael_Nadal,2,NetPointsRallies,6,4,2,2,1,0,1,49
20140124-M-Australian_Open-SF-Roger_Federer-Rafael_Nadal,2,ApproachRallies,2,1,0,1,1,0,0,15
20130121-M-Australian_Open-R16-Roger_Federer-Milos_Raonic,1,NetPoints,6,5,4,1,0,1,0,27
20130121-M-Australian_Open-R16-Roger_Federer-Milos_Raonic,1,NetPointsRallies,6,5,4,1,0,1,0,27
20130121-M-Australian_Open-R16-Roger_Federer-Milos_Raonic,2,NetPoints,12,6,6,0,4,1,1,83
20130121-M-Australian_Open-R16-Roger_Federer-Milos_Raonic,2,NetPointsRallies,12,6,6,0,4,1,1,83
20140122-M-Australian_Open-QF-Grigor_Dimitrov-Rafael_Nadal,1,NetPoints,32,20,13,6,4,5,2,220
