match_id,player,row,pts,pts_won,aces,unret,forced_err,pts_won_lte_3_shots,wide,body,t
20250516-M-Rome_Masters-SF-Tommy_Paul-Jannik_Sinner,Jannik Sinner,Total,61,39,4,0,8,15,27,15,19
20250516-M-Rome_Masters-SF-Tommy_Paul-Jannik_Sinner,Jannik Sinner,1,44,32,4,0,8,15,22,5,17
20250516-M-Rome_Masters-SF-Tommy_Paul-Jannik_Sinner,Jannik Sinner,2,17,7,0,0,0,0,5,10,2
20250516-M-Rome_Masters-SF-Lorenzo_Musetti-Carlos_Alcaraz,Lorenzo Musetti,Total,93,48,0,0,19,23,37,13,43
20250516-M-Rome_Masters-SF-Lorenzo_Musetti-Carlos_Alcaraz,Lorenzo Musetti,1,67,41,0,0,19,20,27,8,32
20250516-M-Rome_Masters-SF-Lorenzo_Musetti-Carlos_Alcaraz,Lorenzo Musetti,2,26,7,0,0,0,3,10,5,11
20250516-M-Rome_Masters-SF-Lorenzo_Musetti-Carlos_Alcaraz,Carlos Alcaraz,Total,71,42,1,0,12,24,50,9,12
20250516-M-Rome_Masters-SF-Lorenzo_Musetti-Carlos_Alcaraz,Carlos Alcaraz,1,47,31,1,0,12,17,36,2,9
20250516-M-Rome_Masters-SF-Lorenzo_Musetti-Carlos_Alcaraz,Carlos Alcaraz,2,24,11,0,0,0,7,14,7,3
20250515-M-Rome_Masters-QF-Hubert_Hurkacz-Tommy_Paul,Hubert Hurkacz,Total,71,39,6,0,13,22,34,3,34
